         88806525 function calls (86741999 primitive calls) in 61.441 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    66302    0.431    0.000    0.760    0.000 {pandas._libs.reshape.explode}
   265379    0.299    0.000    0.747    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:1278(is_bool_dtype)
    99677    0.236    0.000    0.730    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:2752(_is_all_dates)
   563784    0.177    0.000    0.711    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:596(dtype)
    66302    0.061    0.000    0.693    0.000 <__array_function__ internals>:177(all)
   364910    0.387    0.000    0.682    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:2091(maybe_coerce_values)
  1394182    0.383    0.000    0.659    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:1744(<genexpr>)
    66302    0.184    0.000    0.635    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/astype.py:175(_astype_float_to_int_nansafe)
    66302    0.098    0.000    0.633    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/missing.py:357(notna)
  4846719    0.560    0.000    0.627    0.000 {built-in method builtins.getattr}
    66330    0.408    0.000    0.583    0.000 {pandas._libs.lib.infer_dtype}
    66328    0.082    0.000    0.568    0.000 /usr/lib/python3/dist-packages/pandas/compat/numpy/function.py:56(__call__)
  1195061    0.378    0.000    0.567    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/inference.py:325(is_hashable)
    66302    0.071    0.000    0.566    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2432(all)
   232321    0.158    0.000    0.565    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:228(set_axis)
   563784    0.465    0.000    0.533    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:2058(dtype)
    33177    0.295    0.000    0.527    0.000 /usr/lib/python3/dist-packages/pandas/core/indexers/utils.py:243(maybe_convert_indices)
    66307    0.068    0.000    0.514    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:221(make_block)
   332009    0.244    0.000    0.497    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:1433(is_extension_array_dtype)
    66302    0.131    0.000    0.495    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
   298607    0.276    0.000    0.490    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:2186(check_ndim)
    99904    0.166    0.000    0.490    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:5464(equals)
    66302    0.218    0.000    0.486    0.000 /usr/lib/python3/dist-packages/pandas/util/_validators.py:168(validate_args_and_kwargs)
   431504    0.363    0.000    0.482    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:1891(__init__)
   996715    0.209    0.000    0.481    0.000 {built-in method builtins.hasattr}
   298716    0.302    0.000    0.480    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/common.py:1751(pandas_dtype)
    66389    0.325    0.000    0.476    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/managers.py:1129(iget)
   132633    0.105    0.000    0.459    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/base.py:286(is_dtype)
   298631    0.368    0.000    0.450    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/blocks.py:2120(get_block_type)
   564469    0.450    0.000    0.450    0.000 /usr/lib/python3/dist-packages/pandas/core/generic.py:5888(__getattr__)
   464847    0.165    0.000    0.437    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:708(_values)
    66368    0.200    0.000    0.422    0.000 /usr/lib/python3/dist-packages/pandas/core/dtypes/cast.py:1178(maybe_infer_to_datetimelike)
    66302    0.028    0.000    0.418    0.000 /usr/lib/python3/dist-packages/pandas/core/series.py:743(array)
  1267318    0.315    0.000    0.418    0.000 /usr/lib/python3/dist-packages/pandas/core/indexes/base.py:925(__len__)
   232321    0.156    0.000    0.407    0.000 /usr/lib/python3/dist-packages/pandas/core/internals/base.py:58(_validate_set_axis)
